 ,lower,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18, 
lower,upper,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,total
0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.1
0.5,1.0,0,0.0,0.1,0.0,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0,0.0,0.0,0,1.4
1.0,1.5,0,0,0.1,0.2,0.1,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.0,0.0,0,0.0,0.0,0,2.1
1.5,2.0,0,0,0,0.1,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.0,0.0,0,0.0,0.0,0,2.1
2.0,2.5,0,0,0,0.0,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.0,0,0.0,0.0,0,1.9
2.5,3.0,0,0,0,0,0.1,0.3,0.1,0.2,0.3,0.2,0.1,0.1,0.1,0.0,0,0.0,0.0,0,1.6
3.0,3.5,0,0,0,0,0.0,0.2,0.2,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0,0.0,0,0,1.2
3.5,4.0,0,0,0,0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0,0.0,0,0,0.8
4.0,4.5,0,0,0,0,0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0,0.0,0.0,0,0.6
4.5,5.0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.4
5.0,5.5,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.2
5.5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.1
6.0,6.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.1
6.5,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
7.0,7.5,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0
7.5,8.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0
8.0,8.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
8.5,9.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
9.0,9.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
9.5,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,total,0.0,0.0,0.1,0.4,0.9,2.1,1.7,1.8,2.0,1.5,0.9,0.5,0.4,0.2,0.0,0.1,0.0,0.0,12.7
