JUN,lower,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20, 
lower,upper,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,total
0.0,0.5,0,0.1,0.1,0.0,0.0,0.1,0.3,0.1,0.1,0.1,0.2,0.0,0.1,0.1,0,0,0,0,0.0,0,1.2
0.5,1.0,0,0.0,1.4,1.2,1.1,3.3,3.6,3.5,2.4,1.7,0.7,0.5,0.4,0.6,0,0.1,0.1,0,0,0,20.8
1.0,1.5,0,0,0.2,2.2,1.8,3.8,4.5,5.5,3.8,1.8,0.8,0.3,0.2,0.1,0,0.3,0.0,0,0,0,25.3
1.5,2.0,0,0,0,0.4,3.0,2.6,3.0,4.3,4.5,2.5,0.8,0.2,0.1,0.0,0,0.0,0.1,0,0,0,21.4
2.0,2.5,0,0,0,0,1.1,2.8,2.0,2.5,3.0,2.1,0.8,0.3,0.1,0,0,0,0,0,0,0,14.8
2.5,3.0,0,0,0,0,0.1,1.8,1.0,1.2,2.3,1.4,0.4,0.2,0.0,0,0,0,0,0,0,0,8.3
3.0,3.5,0,0,0,0,0,0.5,0.6,0.6,0.9,0.8,0.5,0.1,0.0,0,0,0,0,0,0,0,4.1
3.5,4.0,0,0,0,0,0,0.1,0.3,0.5,0.3,0.5,0.5,0.2,0,0,0,0,0,0,0,0,2.4
4.0,4.5,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.1,0.0,0,0,0,0,0,0,0,0,0.8
4.5,5.0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.0,0.0,0,0,0,0,0,0,0,0.5
5.0,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0,0.0,0,0,0,0,0,0,0,0.1
5.5,6.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
6.0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,total,0.0,0.1,1.7,3.8,7.2,15.1,15.3,18.5,17.6,11.3,5.2,1.8,0.9,0.9,0.0,0.4,0.2,0.0,0.0,0.0,100.0
