SEP,lower,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18, 
lower,upper,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,total
0.0,0.5,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.1
0.5,1.0,0,0.0,0.4,0.4,0.4,1.0,1.0,1.3,0.7,0.6,0.4,0.2,0.5,0.3,0,0.0,0.0,0,7.3
1.0,1.5,0,0,0.2,1.3,1.2,1.8,2.9,3.4,2.7,1.7,0.6,0.5,0.5,0.5,0,0.3,0.1,0,17.7
1.5,2.0,0,0,0,0.4,2.4,2.5,3.2,3.8,3.0,1.7,0.8,0.3,0.3,0.3,0,0.2,0.1,0,18.9
2.0,2.5,0,0,0,0.0,1.2,3.1,2.2,3.8,3.5,1.9,0.7,0.6,0.2,0.0,0,0.1,0.0,0,17.2
2.5,3.0,0,0,0,0,0.3,1.8,1.2,2.0,3.4,2.8,1.0,0.3,0.1,0.0,0,0.0,0.0,0,13.1
3.0,3.5,0,0,0,0,0.0,0.6,0.9,1.2,2.3,2.6,0.9,0.5,0.1,0.1,0,0.0,0,0,9.3
3.5,4.0,0,0,0,0,0,0.2,0.6,0.9,1.3,2.1,1.0,0.5,0.1,0.1,0,0,0,0,6.9
4.0,4.5,0,0,0,0,0,0.1,0.2,0.4,0.6,1.1,0.7,0.4,0.1,0.1,0,0,0,0,3.7
4.5,5.0,0,0,0,0,0,0,0.1,0.1,0.3,0.8,0.8,0.2,0.1,0,0,0,0,0,2.4
5.0,5.5,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.2,0.1,0,0,0,0,0,1.4
5.5,6.0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0.2,0,0.0,0,0,0,0,0.9
6.0,6.5,0,0,0,0,0,0,0,0,0.0,0.1,0.3,0.3,0.0,0,0,0,0,0,0.7
6.5,7.0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.1,0,0.0,0,0,0,0,0.3
7.0,7.5,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0
7.5,8.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0
8.0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
8.5,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,total,0.0,0.0,0.6,2.2,5.4,11.0,12.3,17.2,17.9,16.0,8.3,4.3,2.3,1.5,0.0,0.6,0.2,0.0,100.0
